method,image_id,path,relative_path,category,split,defect_type,sample_id,label,score
Best Fusion,breakfast_box/test/good/030,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\030.png,breakfast_box/test/good/030.png,breakfast_box,test,good,30,0,0.5878258382367871
Best Fusion,breakfast_box/test/good/031,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\031.png,breakfast_box/test/good/031.png,breakfast_box,test,good,31,0,0.7136766039494568
Best Fusion,breakfast_box/test/good/032,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\032.png,breakfast_box/test/good/032.png,breakfast_box,test,good,32,0,0.14801300706996778
Best Fusion,breakfast_box/test/good/033,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\033.png,breakfast_box/test/good/033.png,breakfast_box,test,good,33,0,0.7492275769166346
Best Fusion,breakfast_box/test/good/034,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\034.png,breakfast_box/test/good/034.png,breakfast_box,test,good,34,0,0.062402988655005445
Best Fusion,breakfast_box/test/good/035,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\035.png,breakfast_box/test/good/035.png,breakfast_box,test,good,35,0,0.5857922721340802
Best Fusion,breakfast_box/test/good/036,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\036.png,breakfast_box/test/good/036.png,breakfast_box,test,good,36,0,1.279319950944516
Best Fusion,breakfast_box/test/good/037,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\037.png,breakfast_box/test/good/037.png,breakfast_box,test,good,37,0,0.3240536989178019
Best Fusion,breakfast_box/test/good/038,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\038.png,breakfast_box/test/good/038.png,breakfast_box,test,good,38,0,0.8640819687443793
Best Fusion,breakfast_box/test/good/039,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\039.png,breakfast_box/test/good/039.png,breakfast_box,test,good,39,0,0.7097838217207526
Best Fusion,breakfast_box/test/good/040,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\040.png,breakfast_box/test/good/040.png,breakfast_box,test,good,40,0,-0.335242860650985
Best Fusion,breakfast_box/test/good/041,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\041.png,breakfast_box/test/good/041.png,breakfast_box,test,good,41,0,1.4236890272450917
Best Fusion,breakfast_box/test/good/042,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\042.png,breakfast_box/test/good/042.png,breakfast_box,test,good,42,0,0.46334885547079985
Best Fusion,breakfast_box/test/good/043,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\043.png,breakfast_box/test/good/043.png,breakfast_box,test,good,43,0,0.3822739822628755
Best Fusion,breakfast_box/test/good/044,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\044.png,breakfast_box/test/good/044.png,breakfast_box,test,good,44,0,1.9402459382815995
Best Fusion,breakfast_box/test/good/045,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\045.png,breakfast_box/test/good/045.png,breakfast_box,test,good,45,0,1.686407390617401
Best Fusion,breakfast_box/test/good/046,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\046.png,breakfast_box/test/good/046.png,breakfast_box,test,good,46,0,0.46094048591701986
Best Fusion,breakfast_box/test/good/047,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\047.png,breakfast_box/test/good/047.png,breakfast_box,test,good,47,0,-0.3099986350580324
Best Fusion,breakfast_box/test/good/048,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\048.png,breakfast_box/test/good/048.png,breakfast_box,test,good,48,0,0.8947256581077209
Best Fusion,breakfast_box/test/good/049,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\049.png,breakfast_box/test/good/049.png,breakfast_box,test,good,49,0,0.9178501260356164
Best Fusion,breakfast_box/test/good/050,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\050.png,breakfast_box/test/good/050.png,breakfast_box,test,good,50,0,0.286009232814095
Best Fusion,breakfast_box/test/good/051,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\051.png,breakfast_box/test/good/051.png,breakfast_box,test,good,51,0,1.11026035376452
Best Fusion,breakfast_box/test/good/052,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\052.png,breakfast_box/test/good/052.png,breakfast_box,test,good,52,0,1.4287056208204059
Best Fusion,breakfast_box/test/good/053,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\053.png,breakfast_box/test/good/053.png,breakfast_box,test,good,53,0,1.5899268727516054
Best Fusion,breakfast_box/test/good/054,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\054.png,breakfast_box/test/good/054.png,breakfast_box,test,good,54,0,0.2302072069998657
Best Fusion,breakfast_box/test/good/055,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\055.png,breakfast_box/test/good/055.png,breakfast_box,test,good,55,0,0.7523616609129966
Best Fusion,breakfast_box/test/good/056,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\056.png,breakfast_box/test/good/056.png,breakfast_box,test,good,56,0,1.2020624238333988
Best Fusion,breakfast_box/test/good/057,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\057.png,breakfast_box/test/good/057.png,breakfast_box,test,good,57,0,1.2601988633051726
Best Fusion,breakfast_box/test/good/058,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\058.png,breakfast_box/test/good/058.png,breakfast_box,test,good,58,0,0.6315143787638158
Best Fusion,breakfast_box/test/good/059,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\059.png,breakfast_box/test/good/059.png,breakfast_box,test,good,59,0,1.1009789768446132
Best Fusion,breakfast_box/test/good/060,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\060.png,breakfast_box/test/good/060.png,breakfast_box,test,good,60,0,0.8698118235982252
Best Fusion,breakfast_box/test/good/061,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\061.png,breakfast_box/test/good/061.png,breakfast_box,test,good,61,0,1.1197765502124466
Best Fusion,breakfast_box/test/good/062,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\062.png,breakfast_box/test/good/062.png,breakfast_box,test,good,62,0,0.4429935656589027
Best Fusion,breakfast_box/test/good/063,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\063.png,breakfast_box/test/good/063.png,breakfast_box,test,good,63,0,-0.04441177783629342
Best Fusion,breakfast_box/test/good/064,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\064.png,breakfast_box/test/good/064.png,breakfast_box,test,good,64,0,0.17356181294798595
Best Fusion,breakfast_box/test/good/065,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\065.png,breakfast_box/test/good/065.png,breakfast_box,test,good,65,0,0.17067324575256493
Best Fusion,breakfast_box/test/good/066,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\066.png,breakfast_box/test/good/066.png,breakfast_box,test,good,66,0,0.7914950520993833
Best Fusion,breakfast_box/test/good/067,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\067.png,breakfast_box/test/good/067.png,breakfast_box,test,good,67,0,1.2177667156099425
Best Fusion,breakfast_box/test/good/068,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\068.png,breakfast_box/test/good/068.png,breakfast_box,test,good,68,0,1.4267966080132735
Best Fusion,breakfast_box/test/good/069,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\069.png,breakfast_box/test/good/069.png,breakfast_box,test,good,69,0,0.6462233861330707
Best Fusion,breakfast_box/test/good/070,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\070.png,breakfast_box/test/good/070.png,breakfast_box,test,good,70,0,0.7750787964681238
Best Fusion,breakfast_box/test/good/071,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\071.png,breakfast_box/test/good/071.png,breakfast_box,test,good,71,0,0.8726219874628264
Best Fusion,breakfast_box/test/good/072,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\072.png,breakfast_box/test/good/072.png,breakfast_box,test,good,72,0,0.7226165298146856
Best Fusion,breakfast_box/test/good/073,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\073.png,breakfast_box/test/good/073.png,breakfast_box,test,good,73,0,0.2877010919844418
Best Fusion,breakfast_box/test/good/074,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\074.png,breakfast_box/test/good/074.png,breakfast_box,test,good,74,0,1.3839066418533559
Best Fusion,breakfast_box/test/good/075,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\075.png,breakfast_box/test/good/075.png,breakfast_box,test,good,75,0,0.1560480044384201
Best Fusion,breakfast_box/test/good/076,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\076.png,breakfast_box/test/good/076.png,breakfast_box,test,good,76,0,-0.05048759810350981
Best Fusion,breakfast_box/test/good/077,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\077.png,breakfast_box/test/good/077.png,breakfast_box,test,good,77,0,0.9875430430816845
Best Fusion,breakfast_box/test/good/078,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\078.png,breakfast_box/test/good/078.png,breakfast_box,test,good,78,0,1.2482549036431034
Best Fusion,breakfast_box/test/good/079,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\079.png,breakfast_box/test/good/079.png,breakfast_box,test,good,79,0,0.5331355294500946
Best Fusion,breakfast_box/test/good/080,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\080.png,breakfast_box/test/good/080.png,breakfast_box,test,good,80,0,1.8090687255578453
Best Fusion,breakfast_box/test/good/081,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\081.png,breakfast_box/test/good/081.png,breakfast_box,test,good,81,0,0.42923955488118404
Best Fusion,breakfast_box/test/good/082,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\082.png,breakfast_box/test/good/082.png,breakfast_box,test,good,82,0,0.30628424787654157
Best Fusion,breakfast_box/test/good/083,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\083.png,breakfast_box/test/good/083.png,breakfast_box,test,good,83,0,0.0665795960390628
Best Fusion,breakfast_box/test/good/084,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\084.png,breakfast_box/test/good/084.png,breakfast_box,test,good,84,0,0.8760958026054348
Best Fusion,breakfast_box/test/good/085,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\085.png,breakfast_box/test/good/085.png,breakfast_box,test,good,85,0,1.032212786839211
Best Fusion,breakfast_box/test/good/086,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\086.png,breakfast_box/test/good/086.png,breakfast_box,test,good,86,0,0.41184652932558696
Best Fusion,breakfast_box/test/good/087,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\087.png,breakfast_box/test/good/087.png,breakfast_box,test,good,87,0,1.4714867601213943
Best Fusion,breakfast_box/test/good/088,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\088.png,breakfast_box/test/good/088.png,breakfast_box,test,good,88,0,0.45287297178754615
Best Fusion,breakfast_box/test/good/089,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\089.png,breakfast_box/test/good/089.png,breakfast_box,test,good,89,0,1.1803131713607868
Best Fusion,breakfast_box/test/good/090,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\090.png,breakfast_box/test/good/090.png,breakfast_box,test,good,90,0,0.3744548200372407
Best Fusion,breakfast_box/test/good/091,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\091.png,breakfast_box/test/good/091.png,breakfast_box,test,good,91,0,0.4947166411039706
Best Fusion,breakfast_box/test/good/092,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\092.png,breakfast_box/test/good/092.png,breakfast_box,test,good,92,0,0.5648805407439743
Best Fusion,breakfast_box/test/good/093,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\093.png,breakfast_box/test/good/093.png,breakfast_box,test,good,93,0,2.0536817026749956
Best Fusion,breakfast_box/test/good/094,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\094.png,breakfast_box/test/good/094.png,breakfast_box,test,good,94,0,0.5345454234034209
Best Fusion,breakfast_box/test/good/095,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\095.png,breakfast_box/test/good/095.png,breakfast_box,test,good,95,0,1.87051805385888
Best Fusion,breakfast_box/test/good/096,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\096.png,breakfast_box/test/good/096.png,breakfast_box,test,good,96,0,0.709535473676492
Best Fusion,breakfast_box/test/good/097,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\097.png,breakfast_box/test/good/097.png,breakfast_box,test,good,97,0,0.9739684714948682
Best Fusion,breakfast_box/test/good/098,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\098.png,breakfast_box/test/good/098.png,breakfast_box,test,good,98,0,0.053531571797352226
Best Fusion,breakfast_box/test/good/099,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\099.png,breakfast_box/test/good/099.png,breakfast_box,test,good,99,0,0.5678228724382786
Best Fusion,breakfast_box/test/good/100,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\100.png,breakfast_box/test/good/100.png,breakfast_box,test,good,100,0,0.9206660486317098
Best Fusion,breakfast_box/test/good/101,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\good\101.png,breakfast_box/test/good/101.png,breakfast_box,test,good,101,0,1.2155323683742574
Best Fusion,breakfast_box/test/logical_anomalies/000,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\000.png,breakfast_box/test/logical_anomalies/000.png,breakfast_box,test,logical_anomalies,0,1,15.208813909879504
Best Fusion,breakfast_box/test/logical_anomalies/001,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\001.png,breakfast_box/test/logical_anomalies/001.png,breakfast_box,test,logical_anomalies,1,1,12.588910152932694
Best Fusion,breakfast_box/test/logical_anomalies/002,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\002.png,breakfast_box/test/logical_anomalies/002.png,breakfast_box,test,logical_anomalies,2,1,14.50310794582991
Best Fusion,breakfast_box/test/logical_anomalies/003,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\003.png,breakfast_box/test/logical_anomalies/003.png,breakfast_box,test,logical_anomalies,3,1,0.24665170036724154
Best Fusion,breakfast_box/test/logical_anomalies/004,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\004.png,breakfast_box/test/logical_anomalies/004.png,breakfast_box,test,logical_anomalies,4,1,0.4974870512755524
Best Fusion,breakfast_box/test/logical_anomalies/005,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\005.png,breakfast_box/test/logical_anomalies/005.png,breakfast_box,test,logical_anomalies,5,1,1.4133801526230518
Best Fusion,breakfast_box/test/logical_anomalies/006,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\006.png,breakfast_box/test/logical_anomalies/006.png,breakfast_box,test,logical_anomalies,6,1,0.5845153257078696
Best Fusion,breakfast_box/test/logical_anomalies/007,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\007.png,breakfast_box/test/logical_anomalies/007.png,breakfast_box,test,logical_anomalies,7,1,1.27541269506222
Best Fusion,breakfast_box/test/logical_anomalies/008,D:\Anal Project Codex\Project_A_LOCO_AD\03_cleaned_data\loco_cleaned_letterbox_384\breakfast_box\test\logical_anomalies\008.png,breakfast_box/test/logical_anomalies/008.png,breakfast_box,test,logical_anomalies,8,1,1.1430560051865348
